Requester;Subrequester
CIUTADÀ;NONE
DS MOBILITAT;PLANIFICACIÓ
;REGULACIÓ
;SENYALITZACIÓ
;COORDINACIÓ
GERÈNCIA PSiM;NONE
GUB SERVEIS CENTRALS;NONE
DISTRICTES;CIUTAT VELLA
;EIXAMPLE
;SANTS-MONTJUIC
;LES CORTS
;SARRIÀ-SANT GERVASI
;GRÀCIA
;HORTA-GUINARDÓ
;NOU BARRIS
;SANT ANDREU
;SANT MARTÍ
BARRIS;el Raval
;el Barri Gòtic
;la Barceloneta
;Sant Pere, Santa Caterina i la Ribera
;el Fort Pienc
;la Sagrada Família
;la Dreta de l'Eixample
;l'Antiga Esquerra de l'Eixample
;la Nova Esquerra de l'Eixample
;Sant Antoni
;el Poble Sec
;la Marina del Prat Vermell
;la Marina de Port
;la Font de la Guatlla
;Hostafrancs
;la Bordeta
;Sants - Badal
;Sants
;les Corts
;la Maternitat i Sant Ramon
;Pedralbes
;Vallvidrera, el Tibidabo i les Planes
;Sarrià
;les Tres Torres
;Sant Gervasi - la Bonanova
;Sant Gervasi - Galvany
;el Putxet i el Farró
;Vallcarca i els Penitents
;el Coll
;la Salut
;la Vila de Gràcia
;el Camp d'en Grassot i Gràcia Nova
;el Baix Guinardó
;Can Baró
;el Guinardó
;la Font d'en Fargues
;el Carmel
;la Teixonera
;Sant Genís dels Agudells
;Montbau
;la Vall d'Hebron
;la Clota
;Horta
;Vilapicina i la Torre Llobeta
;Porta
;el Turó de la Peira
;Can Peguera
;la Guineueta
;Canyelles
;les Roquetes
;Verdun
;la Prosperitat
;la Trinitat Nova
;Torre Baró
;Ciutat Meridiana
;Vallbona
;la Trinitat Vella
;Baró de Viver
;el Bon Pastor
;Sant Andreu
;la Sagrera
;el Congrés i els Indians
;Navas
;el Camp de l'Arpa del Clot
;el Clot
;el Parc i la Llacuna del Poblenou
;la Vila Olímpica del Poblenou
;el Poblenou
;Diagonal Mar i el Front Marítim del Poblenou
;el Besòs i el Maresme
;Provençals del Poblenou
;Sant Martí de Provençals
;la Verneda i la Pau
ALTRES GERÈNCIES / SECTORS;GERÈNCIA MUNICIPAL
;GERÈNCIA ADJUNTA DE COORDINACIÓ TERRITORIAL
;GERÈNCIA ADJUNTA DE COORDINACIÓ D'EMPRESES I ENTITATS MUNICIPALS
;GERÈNCIA ADJUNTA DE PROJECTES ESTRATÈGICS
;GERÈNCIA DE CULTURA, CONEIXEMENT, CREATIVITAT I INNOVACIÓ
;GERÈNCIA D'ECONOMIA, EMPRESA I OCUPACIÓ
;GERÈNCIA DE QUALITAT DE VIDA, IGUALTAT I ESPORTS
;GERÈNCIA D'HABITAT URBÀ
;GERÈNCIA DE RECURSOS
INSTITUTS I PATRONATS;INSTITUT MUNICIPAL D'EDUCACIÓ
;INSTITUT MUNICIPAL D'HISENDA
;INSTITUT MUNICIPAL D'INFORMÀTICA
;INSTITUT MUNICIPAL DE MERCATS
;INSTITUT MUNICIPAL DEL PAISATGE URBÀ
;INSTITUT MUNICIPAL MIES VAN DE RÖHE
;INSTITUT MUNICIPAL D'URBANISME
;INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT
;INSTITUT MUNICIPAL DE SERVEIS SOCIALS
;INSTITUT MUNICIPAL D'ESPORTS
;INSTITUT DE CULTURA DE BARCELONA
;INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA
;PATRONAT MUNICIPAL D'HABITATGE
EMPRESES PÚBLIQUES;AMB
;ATM
;BIMSA - GRUP BARCELONA D'INFRAESTRUCTURES MUNICIPALS
;B:SM - GRUP BARCELONA DE SERVEIS MUNICIPALS
;BAGURSA - BCN GESTIÓ URBANÍSTICA
;SPM BARCELONA ACTIVA
;INFORMACIÓ I COMUNICACIÓ DE BARCELONA SA SPM
;BCASA - BARCELONA CICLE DE L'AIGUA SA
;TMB
;ADIF
ALCALDIA, GOVERN MUNICIPAL I ALTRES;UNIÓ EUROPEA
;ESTAT 
;DIPÙTACIÓ
;GENERALITAT
;ALTRES AJUNTAMENT
;ALCALDIA (DIRECCIÓ, GABINET)
;CONSELL MUNICIPAL (GOVERN)
;COMITÈ DE GOVERN / COMISSIÓ DE GOVERN
;1A TINÈNCIA ALCALDIA
;2A TINÈNCIA ALCALDIA
;3A TINÈNCIA ALCALDIA
;4A TINÈNCIA ALCALDIA
;5A TINÈNCIA ALCALDIA
;SINDICATURA DE GREUGES DE BARCELONA
;GRUPS POLÍTICS MUNICIPALS
;DIRECCIÓ DE SERVEIS JURÍDICS (ADSCRITA A GERÈNCIA DE RECURSOS)
CIUTADANIA / ENTITATS / EMPRESES / JUDICATURA;ENTITAT PRIVADA
;EMPRESA PRIVADA
;ASSEGURADORA
;JUTJATS
